"P1_count","P2_count","P3_count","P4_count","count_4p","P1_TopFreq","P2_TopFreq","P3_TopFreq","P4_TopFreq","name"
"19233","5610","23760","18787","1094","0.425941056773059","0.232546174821217","0.225814931650894","0.284135911344803","NaraCOVID_CD4_001_TCR.join.strict.table.txt"
"55571","7093","30061","23967","1757","0.151617295108356","0.1515437797913","0.114923847022556","0.134237535441296","NaraCOVID_CD4_002_TCR.join.strict.table.txt"
"109816","6634","33054","20052","776","0.0982642139379773","0.125379897220534","0.0936976479260202","0.0998726039166889","NaraCOVID_CD4_003_TCR.join.strict.table.txt"
"86120","6873","28892","16315","975","0.0494707654571147","0.0678303546624688","0.0598828262102109","0.0631102164066432","NaraCOVID_CD4_004_TCR.join.strict.table.txt"
"161944","880","29509","19353","225","0.102008579974315","0.49235650418229","0.0999391106574258","0.172286785628806","NaraCOVID_CD4_005_TCR.join.strict.table.txt"
"101308","1760","19506","15342","386","0.0366378409022263","0.139893873613121","0.038254547743438","0.0451707976012608","NaraCOVID_CD4_006_TCR.join.strict.table.txt"
"93312","5043","22684","10849","281","0.0459322180105849","0.0995953423073747","0.0754816681570604","0.0511919965942954","NaraCOVID_CD4_007_TCR.join.strict.table.txt"
"175300","4050","21624","36728","536","0.129555905241824","0.338861291555216","0.199304369050525","0.132284671963333","NaraCOVID_CD4_008_TCR.join.strict.table.txt"
"67431","27454","58317","91418","1665","0.0274206455054681","0.0294231936854888","0.0219301219524008","0.0311662874096264","NaraCOVID_CD4_009_TCR.join.strict.table.txt"
"41016","25502","81401","64646","2217","0.302373993381047","0.248677169702895","0.265570544194042","0.30459836026596","NaraCOVID_CD4_010_TCR.join.strict.table.txt"
"50248","24438","79808","90901","1717","0.0232751424527275","0.031950248026782","0.0237232047887207","0.0260523620077662","NaraCOVID_CD4_011_TCR.join.strict.table.txt"
"62493","44545","37960","87999","1361","0.0230357168502535","0.0346662411721449","0.0336640035818724","0.02585984672726","NaraCOVID_CD4_012_TCR.join.strict.table.txt"
"93655","20815","74534","108969","1413","0.0304380858149951","0.0368228105906314","0.0265548134471692","0.0208142831768754","NaraCOVID_CD4_013_TCR.join.strict.table.txt"
"55771","57994","78082","155562","2354","0.0269443469101124","0.0282098602689164","0.0264571231919575","0.0305873660879202","NaraCOVID_CD4_014_TCR.join.strict.table.txt"
"54496","23639","69405","70635","1626","0.202028274696394","0.304009754537459","0.271059170736161","0.186210409865468","NaraCOVID_CD4_015_TCR.join.strict.table.txt"
"96000","28526","82658","101334","3159","0.074597258379043","0.0998647233374062","0.0875641153170249","0.0718265239239677","NaraCOVID_CD4_016_TCR.join.strict.table.txt"
"116717","28346","81820","87348","2260","0.0292178284372663","0.0434743750159598","0.0312151920425602","0.0326876678809916","NaraCOVID_CD4_017_TCR.join.strict.table.txt"
"63262","45314","108768","157664","3819","0.125411779353707","0.145371554418869","0.110850151352252","0.126816829579261","NaraCOVID_CD4_018_TCR.join.strict.table.txt"
"76610","30580","40169","56021","3730","0.326433011132848","0.307545042399756","0.273168922677545","0.250180119035188","NaraCOVID_CD4_019_TCR.join.strict.table.txt"
