"class","organ","freq","name"
"NonNV","Posi",0.00741767199217476,"COVIDAIM_CD4_027_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_027_TCR"
"AIM","Nega",0.00883946392928429,"COVIDAIM_CD4_027_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_027_TCR"
"NonNV","Nega",0.00370687197034502,"COVIDAIM_CD4_027_TCR"
"nonNVonly","Nega",0.987453664100371,"COVIDAIM_CD4_027_TCR"
"AIM","Posi",0.270249195341275,"COVIDAIM_CD4_031_TCR"
"AIMonly","Posi",0.646398115273584,"COVIDAIM_CD4_031_TCR"
"NonNV","Posi",0.0833526893851412,"COVIDAIM_CD4_031_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_031_TCR"
"AIM","Nega",0.0304742386525733,"COVIDAIM_CD4_031_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_031_TCR"
"NonNV","Nega",0.0414739513276699,"COVIDAIM_CD4_031_TCR"
"nonNVonly","Nega",0.928051810019757,"COVIDAIM_CD4_031_TCR"
"AIM","Posi",0.320524331118693,"COVIDAIM_CD4_034_TCR"
"AIMonly","Posi",0.668522176333273,"COVIDAIM_CD4_034_TCR"
"NonNV","Posi",0.0109534925480338,"COVIDAIM_CD4_034_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_034_TCR"
"AIM","Nega",0.0157742925846896,"COVIDAIM_CD4_034_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_034_TCR"
"NonNV","Nega",0.00397162407117584,"COVIDAIM_CD4_034_TCR"
"nonNVonly","Nega",0.980254083344135,"COVIDAIM_CD4_034_TCR"
"AIM","Posi",0.337341093582478,"COVIDAIM_CD4_035_TCR"
"AIMonly","Posi",0.612574666870884,"COVIDAIM_CD4_035_TCR"
"NonNV","Posi",0.0500842395466381,"COVIDAIM_CD4_035_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_035_TCR"
"AIM","Nega",0.023475557664343,"COVIDAIM_CD4_035_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_035_TCR"
"NonNV","Nega",0.0562501306041471,"COVIDAIM_CD4_035_TCR"
"nonNVonly","Nega",0.92027431173151,"COVIDAIM_CD4_035_TCR"
"AIM","Posi",0.396520255054875,"COVIDAIM_CD4_038_TCR"
"AIMonly","Posi",0.446796406475929,"COVIDAIM_CD4_038_TCR"
"NonNV","Posi",0.156683338469197,"COVIDAIM_CD4_038_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_038_TCR"
"AIM","Nega",0.0408447138577517,"COVIDAIM_CD4_038_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_038_TCR"
"NonNV","Nega",0.10067931534015,"COVIDAIM_CD4_038_TCR"
"nonNVonly","Nega",0.858475970802098,"COVIDAIM_CD4_038_TCR"
"AIM","Posi",0.0581375978677328,"COVIDAIM_CD4_040_TCR"
"AIMonly","Posi",0.938364151257704,"COVIDAIM_CD4_040_TCR"
"NonNV","Posi",0.00349825087456272,"COVIDAIM_CD4_040_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD4_040_TCR"
"AIM","Nega",0.00377226272057954,"COVIDAIM_CD4_040_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD4_040_TCR"
"NonNV","Nega",0.00153347712525368,"COVIDAIM_CD4_040_TCR"
"nonNVonly","Nega",0.994694260154167,"COVIDAIM_CD4_040_TCR"
"AIM","Posi",0.348805790108565,"COVIDAIM_CD8_001_TCR"
"AIMonly","Posi",0.107599517490953,"COVIDAIM_CD8_001_TCR"
"NonNV","Posi",0.543594692400483,"COVIDAIM_CD8_001_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_001_TCR"
"AIM","Nega",0.0377929618630455,"COVIDAIM_CD8_001_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_001_TCR"
"NonNV","Nega",0.581215963140285,"COVIDAIM_CD8_001_TCR"
"nonNVonly","Nega",0.38099107499667,"COVIDAIM_CD8_001_TCR"
"AIM","Posi",0.527658354829464,"COVIDAIM_CD8_002_TCR"
"AIMonly","Posi",0.211808541129263,"COVIDAIM_CD8_002_TCR"
"NonNV","Posi",0.260533104041273,"COVIDAIM_CD8_002_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_002_TCR"
"AIM","Nega",0.0350275599372619,"COVIDAIM_CD8_002_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_002_TCR"
"NonNV","Nega",0.295783105534394,"COVIDAIM_CD8_002_TCR"
"nonNVonly","Nega",0.669189334528344,"COVIDAIM_CD8_002_TCR"
"AIM","Posi",0.358465538281955,"COVIDAIM_CD8_003_TCR"
"AIMonly","Posi",0.114500981588582,"COVIDAIM_CD8_003_TCR"
"NonNV","Posi",0.527033480129464,"COVIDAIM_CD8_003_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_003_TCR"
"AIM","Nega",0.0505895526141406,"COVIDAIM_CD8_003_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_003_TCR"
"NonNV","Nega",0.710717301514051,"COVIDAIM_CD8_003_TCR"
"nonNVonly","Nega",0.238693145871808,"COVIDAIM_CD8_003_TCR"
"AIM","Posi",0.428002515195976,"COVIDAIM_CD8_005_TCR"
"AIMonly","Posi",0.344057849507441,"COVIDAIM_CD8_005_TCR"
"NonNV","Posi",0.227939635296584,"COVIDAIM_CD8_005_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_005_TCR"
"AIM","Nega",0.0245094073548844,"COVIDAIM_CD8_005_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_005_TCR"
"NonNV","Nega",0.266914758784349,"COVIDAIM_CD8_005_TCR"
"nonNVonly","Nega",0.708575833860767,"COVIDAIM_CD8_005_TCR"
"AIM","Posi",0.324341962149228,"COVIDAIM_CD8_008_TCR"
"AIMonly","Posi",0.125299108113987,"COVIDAIM_CD8_008_TCR"
"NonNV","Posi",0.550358929736785,"COVIDAIM_CD8_008_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_008_TCR"
"AIM","Nega",0.0305880970314695,"COVIDAIM_CD8_008_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_008_TCR"
"NonNV","Nega",0.371971773051919,"COVIDAIM_CD8_008_TCR"
"nonNVonly","Nega",0.597440129916612,"COVIDAIM_CD8_008_TCR"
"AIM","Posi",0.38698328935796,"COVIDAIM_CD8_009_TCR"
"AIMonly","Posi",0.34154206977426,"COVIDAIM_CD8_009_TCR"
"NonNV","Posi",0.271474640867781,"COVIDAIM_CD8_009_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_009_TCR"
"AIM","Nega",0.034398211829436,"COVIDAIM_CD8_009_TCR"
"AIMonly","Nega",0,"COVIDAIM_CD8_009_TCR"
"NonNV","Nega",0.280828748280605,"COVIDAIM_CD8_009_TCR"
"nonNVonly","Nega",0.684773039889959,"COVIDAIM_CD8_009_TCR"
"AIM","Posi",0.00963665086887836,"COVIDAIM_CD8_012_TCR"
"AIMonly","Posi",0.0420616113744076,"COVIDAIM_CD8_012_TCR"
"NonNV","Posi",0.948301737756714,"COVIDAIM_CD8_012_TCR"
"nonNVonly","Posi",0,"COVIDAIM_CD8_012_TCR"
"AIM","Nega",0.00181918303931402,"COVIDAIM_CD8_012_TCR"
