"class","X0","X1","X2","X3","X4","X5","Tcell","ID"
"AIM",32,139,3,32,14,27,"CD8","002"
"NonNV",731,79,64,832,359,657,"CD8","002"
"AIM",50,9,2,3,3,1,"CD8","027"
"NonNV",157,98,813,59,18,7,"CD8","027"
