"class","counts","prop","sum_TP1","sum_TP2","sum_TP3","sum_TP4","name"
"0",634,0.0252720532546737,0.161669744718195,0.159262345723358,0.151512412629549,0.174879618379011,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"blue",309,0.0123171363654482,0.298977039045411,0.101581919280449,0.173947537559251,0.154200981053958,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"brown",106,0.00422529597002432,0.0213236931379098,0.0158120087932298,0.0502731581907287,0.0195085729715134,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"green",189,0.00753378243711883,0.0175645408463987,0.0477808589203868,0.0179661765887362,0.0164484046622564,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"invblue",77,0.00306931877067804,0.0190184290148925,0.0444043736260578,0.0338434964248413,0.0429548625174385,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"invbrown",28,0.0011161159166102,0.00733493130050952,0.00861362950617107,0.00423796898851129,0.00765042077314252,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"invgreen",42,0.00167417387491529,0.14461602944451,0.0705829106740039,0.133305214107817,0.130844696458305,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"invred",191,0.00761350500259098,0.0508205954392445,0.0508699837641345,0.0350586486703623,0.0232662796453805,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"invturquoise",78,0.00310918005341412,0.0146436664178029,0.0206396643629937,0.0245842371655821,0.00657036136987534,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"invyellow",99,0.00394626699087177,0.00499037290266808,0.0162286814465725,0.0309914035510565,0.0179784888168849,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"red",181,0.0072148921752302,0.024860177872084,0.0184557249385767,0.0696955089579818,0.0924575851671842,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"singlet",22933,0.914138796986487,0.181997982893892,0.408921105188293,0.244747730376798,0.241663291481031,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"turquoise",183,0.00729461474070236,0.0341074305473692,0.0242963260966393,0.0222041455772475,0.0589532424283336,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"yellow",37,0.0014748674612349,0.0180753664191127,0.0125504676791333,0.00763236121153692,0.0126231942756852,"NaraCOVID_CD8_001_TCR.join.strict.table.txt"
"0",662,0.0461420506029135,0.130667674953524,0.199992173028255,0.123629537602133,0.226871468926554,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"blue",408,0.0284380009758138,0.144153511674071,0.0421417203683895,0.0406083084707952,0.0293299788135593,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"brown",56,0.00390325503589601,0.00267826196552919,0.00215893970622766,0.192830520617014,0.00975459039548023,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"green",155,0.0108036523314979,0.0664839146737247,0.118813431083514,0.0434829922102419,0.0587040960451977,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"invblue",66,0.00460026486373458,0.00173299303651889,0.012066581439641,0.00857870920352217,0.0147201624293785,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"invbrown",31,0.00216073046629957,0.0872798311119514,0.0906298103263847,0.0396198525477678,0.086378884180791,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"invgreen",17,0.00118491670732557,0.00299335160853263,0.0010109838503483,0.00256635803868581,0.00297934322033898,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"invred",140,0.00975813758974002,0.0397328039827331,0.0371455034047327,0.0174838809137323,0.00825388418079096,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"invturquoise",34,0.00236983341465115,0.00488388946655323,0.00645072921286754,0.0073272695945517,0.00192002118644068,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"invyellow",79,0.00550637763992472,0.000630179286006869,0.00416133997756268,0.0148359072483745,0.0056055790960452,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"red",192,0.0133825886945006,0.0069634811103759,0.0118969970518406,0.0253461862831337,0.0606682556497175,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"singlet",12193,0.849864083083572,0.146737246746699,0.189575778131441,0.317702429425154,0.112575035310734,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"turquoise",251,0.0174949466787482,0.0824589595739988,0.0713493699287746,0.0510369718788824,0.173486052259887,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"yellow",63,0.00439116191538301,0.28260390080978,0.212606642490021,0.114951075966012,0.208752648305085,"NaraCOVID_CD8_002_TCR.join.strict.table.txt"
"0",348,0.00445582586427657,0.0317323655722185,0.0253354466370643,0.0288063922934033,0.0229220443985545,"NaraCOVID_CD8_003_TCR.join.strict.table.txt"
